Institution code (UKPRN)	Institution name	Institution sort order	Main panel	Unit of assessment number	Unit of assessment name	Multiple submission letter	Multiple submission name	Joint submission	Profile	FTE Category A staff submitted	4*	3*	2*	1*	unclassified
H-0095	University of Abertay Dundee	2	A	4	Psychology, Psychiatry & Neuroscience				Overall	10	0	15	40	45	0
H-0095	University of Abertay Dundee	2	B	7	Earth Systems & Environmental Sciences				Overall	12	10	35	40	15	0
H-0095	University of Abertay Dundee	2	B	15	General Engineering				Overall	10	5	20	40	35	0
H-0095	University of Abertay Dundee	2	C	19	Business & Management Studies				Overall	9	0	15	35	40	10
H-0095	University of Abertay Dundee	2	C	20	Law				Overall	3	0	20	60	20	0
H-0177	Aberystwyth University	3	A	6	Agriculture, Veterinary & Food Science				Overall	46.5	10	35	50	5	0
H-0177	Aberystwyth University	3	B	9	Physics				Overall	18.33	5	15	50	30	0
H-0177	Aberystwyth University	3	B	10	Mathematical Sciences				Overall	8.3	5	35	45	15	0
H-0177	Aberystwyth University	3	B	11	Computer Science & Informatics				Overall	15.53	25	45	30	0	0
H-0177	Aberystwyth University	3	C	17	Geography, Environmental Studies & Archaeology				Overall	31.33	20	45	30	5	0
H-0177	Aberystwyth University	3	C	19	Business & Management Studies				Overall	16	5	25	35	30	5
H-0177	Aberystwyth University	3	C	20	Law				Overall	21	5	30	30	35	0
H-0177	Aberystwyth University	3	C	21	Politics & International Studies				Overall	33	40	25	25	10	0
H-0177	Aberystwyth University	3	C	26	Sport & Exercise Sciences, Leisure & Tourism				Overall	8	0	15	50	35	0
H-0177	Aberystwyth University	3	D	27	Area Studies				Overall	5	20	15	45	15	5
H-0177	Aberystwyth University	3	D	28	Modern Languages				Overall	13.2	25	40	25	10	0
H-0177	Aberystwyth University	3	D	29	English Language & Literature				Overall	22	10	30	55	5	0
H-0177	Aberystwyth University	3	D	30	History				Overall	20.8	10	35	35	20	0
H-0177	Aberystwyth University	3	D	34	Art & Design: History, Practice, Theory				Overall	7.75	5	20	40	35	0
H-0177	Aberystwyth University	3	D	35	Music, Drama, Dance, Performing Arts				Overall	22.9	30	30	20	20	0
H-0177	Aberystwyth University	3	D	36	Comm, Cultural & Media Studies, Library & Info Mgt				Overall	11.2	10	40	35	15	0
H-0047	Anglia Ruskin University	4	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	8.4	5	10	40	35	10
H-0047	Anglia Ruskin University	4	A	4	Psychology, Psychiatry & Neuroscience				Overall	4	5	40	35	15	5
H-0047	Anglia Ruskin University	4	C	17	Geography, Environmental Studies & Archaeology				Overall	8.4	5	15	45	30	5
H-0047	Anglia Ruskin University	4	C	22	Social Work & Social Policy				Overall	7.7	5	25	60	10	0
H-0047	Anglia Ruskin University	4	D	27	Area Studies				Overall	11.1	0	20	40	35	5
H-0047	Anglia Ruskin University	4	D	29	English Language & Literature				Overall	11	15	45	35	5	0
H-0047	Anglia Ruskin University	4	D	30	History				Overall	3.5	20	40	25	15	0
H-0047	Anglia Ruskin University	4	D	34	Art & Design: History, Practice, Theory				Overall	10.54	5	25	40	20	10
H-0047	Anglia Ruskin University	4	D	35	Music, Drama, Dance, Performing Arts				Overall	6.5	5	10	65	15	5
H-7002	Armagh Observatory	5	B	9	Physics				Overall	7.5	5	30	50	15	0
H-0108	Aston University	6	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	56.4	15	35	35	15	0
H-0108	Aston University	6	B	15	General Engineering				Overall	58.73	10	25	50	15	0
H-0108	Aston University	6	C	19	Business & Management Studies				Overall	88.82	15	45	35	5	0
H-0108	Aston University	6	D	27	Area Studies				Overall	33.1	5	15	45	30	5
H-0178	Bangor University	7	A	2	Public Health, Health Services & Primary Care				Overall	16.1	5	20	35	40	0
H-0178	Bangor University	7	A	4	Psychology, Psychiatry & Neuroscience				Overall	39	20	45	25	10	0
H-0178	Bangor University	7	A	5	Biological Sciences				Overall	16.56	5	20	55	20	0
H-0178	Bangor University	7	A	6	Agriculture, Veterinary & Food Science				Overall	35	5	40	45	10	0
H-0178	Bangor University	7	B	7	Earth Systems & Environmental Sciences				Overall	28.4	10	50	30	10	0
H-0178	Bangor University	7	B	8	Chemistry				Overall	12	10	35	45	10	0
H-0178	Bangor University	7	B	11	Computer Science & Informatics				Overall	6.95	15	35	40	5	5
H-0178	Bangor University	7	B	13	Elec Engineering, Metallurgy & Materials				Overall	8	30	40	25	5	0
H-0178	Bangor University	7	C	19	Business & Management Studies				Overall	13.75	15	50	30	5	0
H-0178	Bangor University	7	C	22	Social Work & Social Policy				Overall	15.4	5	25	55	15	0
H-0178	Bangor University	7	C	25	Education				Overall	4.66	10	20	20	35	15
H-0178	Bangor University	7	C	26	Sport & Exercise Sciences, Leisure & Tourism				Overall	16.8	10	25	45	20	0
H-0178	Bangor University	7	D	27	Area Studies				Overall	9	5	20	45	25	5
H-0178	Bangor University	7	D	28	Modern Languages				Overall	12.97	5	30	40	20	5
H-0178	Bangor University	7	D	29	English Language & Literature				Overall	14.25	15	30	50	5	0
H-0178	Bangor University	7	D	30	History				Overall	17	15	35	35	10	5
H-0178	Bangor University	7	D	33	Theology & Religious Studies				Overall	7.45	5	25	45	20	5
H-0178	Bangor University	7	D	35	Music, Drama, Dance, Performing Arts				Overall	10.5	25	45	20	10	0
H-0109	University of Bath	8	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	40.7	20	40	30	10	0
H-0109	University of Bath	8	A	5	Biological Sciences				Overall	36.7	10	40	40	10	0
H-0109	University of Bath	8	B	8	Chemistry				Overall	28	5	55	40	0	0
H-0109	University of Bath	8	B	9	Physics				Overall	20.2	20	50	25	5	0
H-0109	University of Bath	8	B	10	Mathematical Sciences				Overall	44.8	20	45	30	5	0
H-0109	University of Bath	8	B	11	Computer Science & Informatics				Overall	24.33	25	50	20	5	0
H-0109	University of Bath	8	B	12	Aero, Mech, Chem & Manufacturing Engineering				Overall	56.4	10	45	40	5	0
H-0109	University of Bath	8	B	13	Elec Engineering, Metallurgy & Materials				Overall	15.7	25	35	30	10	0
H-0109	University of Bath	8	C	16	Architecture, Built Environment & Planning				Overall	23.3	25	45	25	5	0
H-0109	University of Bath	8	C	19	Business & Management Studies				Overall	62.7	30	40	25	5	0
H-0109	University of Bath	8	C	22	Social Work & Social Policy				Overall	23.7	35	40	25	0	0
H-0109	University of Bath	8	C	24	Anthropology & Development Studies				Overall	16.5	15	30	40	15	0
H-0109	University of Bath	8	C	25	Education				Overall	32.7	15	30	40	15	0
H-0109	University of Bath	8	C	26	Sport & Exercise Sciences, Leisure & Tourism				Overall	11	15	20	45	20	0
H-0109	University of Bath	8	D	27	Area Studies				Overall	33	10	35	40	15	0
H-0048	Bath Spa University	9	A	4	Psychology, Psychiatry & Neuroscience				Overall	3	0	5	65	20	10
H-0048	Bath Spa University	9	A	5	Biological Sciences				Overall	3	0	0	15	80	5
H-0048	Bath Spa University	9	C	17	Geography, Environmental Studies & Archaeology				Overall	4	0	15	30	50	5
H-0048	Bath Spa University	9	C	25	Education				Overall	10	0	15	30	35	20
H-0048	Bath Spa University	9	D	29	English Language & Literature				Overall	18.7	5	25	50	20	0
H-0048	Bath Spa University	9	D	30	History				Overall	6	5	40	35	20	0
H-0048	Bath Spa University	9	D	33	Theology & Religious Studies				Overall	4	0	10	10	65	15
H-0048	Bath Spa University	9	D	34	Art & Design: History, Practice, Theory				Overall	17.88	5	15	65	15	0
H-0048	Bath Spa University	9	D	35	Music, Drama, Dance, Performing Arts				Overall	5	10	20	50	20	0
H-0048	Bath Spa University	9	D	36	Comm, Cultural & Media Studies, Library & Info Mgt				Overall	3	10	10	30	50	0
H-0026	University of Bedfordshire	10	B	7	Earth Systems & Environmental Sciences				Overall	8.4	5	10	55	30	0
H-0026	University of Bedfordshire	10	B	11	Computer Science & Informatics				Overall	16.2	0	30	50	20	0
H-0026	University of Bedfordshire	10	C	19	Business & Management Studies				Overall	8	0	15	45	35	5
H-0026	University of Bedfordshire	10	C	22	Social Work & Social Policy				Overall	9.1	5	45	45	5	0
H-0026	University of Bedfordshire	10	C	26	Sport & Exercise Sciences, Leisure & Tourism				Overall	10.5	5	15	35	45	0
H-0026	University of Bedfordshire	10	D	29	English Language & Literature				Overall	3.6	15	25	25	25	10
H-0026	University of Bedfordshire	10	D	36	Comm, Cultural & Media Studies, Library & Info Mgt				Overall	7.9	10	40	45	5	0
H-0127	Birkbeck College	11	A	4	Psychology, Psychiatry & Neuroscience				Overall	23.7	25	45	25	5	0
H-0127	Birkbeck College	11	A	5	Biological Sciences				Overall	22.95	15	40	30	10	5
H-0127	Birkbeck College	11	B	7	Earth Systems & Environmental Sciences				Overall	9	25	55	20	0	0
H-0127	Birkbeck College	11	B	11	Computer Science & Informatics				Overall	19	15	50	30	5	0
H-0127	Birkbeck College	11	C	18	Economics & Econometrics				Overall	25.1	20	50	25	5	0
H-0127	Birkbeck College	11	C	19	Business & Management Studies				Overall	31.9	10	40	35	15	0
H-0127	Birkbeck College	11	C	20	Law				Overall	20.9	5	25	35	30	5
H-0127	Birkbeck College	11	C	21	Politics & International Studies				Overall	17	10	35	35	20	0
H-0127	Birkbeck College	11	C	23	Sociology				Overall	24.55	5	30	40	20	5
H-0127	Birkbeck College	11	D	28	Modern Languages				Overall	32.3	10	30	40	15	5
H-0127	Birkbeck College	11	D	29	English Language & Literature				Overall	33.65	35	25	30	5	5
H-0127	Birkbeck College	11	D	30	History				Overall	33.5	35	35	20	10	0
H-0127	Birkbeck College	11	D	32	Philosophy				Overall	14.5	25	35	40	0	0
H-0127	Birkbeck College	11	D	34	Art & Design: History, Practice, Theory				Overall	19	20	55	15	10	0
H-0110	University of Birmingham	12	A	1	Clinical Medicine				Overall	157.05	15	55	25	5	0
H-0110	University of Birmingham	12	A	2	Public Health, Health Services & Primary Care				Overall	50.5	25	40	30	5	0
H-0110	University of Birmingham	12	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	24.5	10	50	30	10	0
H-0110	University of Birmingham	12	A	4	Psychology, Psychiatry & Neuroscience				Overall	63.33	25	55	20	0	0
H-0110	University of Birmingham	12	A	5	Biological Sciences				Overall	58.3	10	40	40	5	5
H-0110	University of Birmingham	12	B	7	Earth Systems & Environmental Sciences				Overall	17.48	15	50	30	5	0
H-0110	University of Birmingham	12	B	8	Chemistry				Overall	22	10	50	35	5	0
H-0110	University of Birmingham	12	B	9	Physics				Overall	43.6	20	40	30	10	0
H-0110	University of Birmingham	12	B	10	Mathematical Sciences				Overall	43	10	35	35	20	0
H-0110	University of Birmingham	12	B	11	Computer Science & Informatics				Overall	34	30	45	20	5	0
H-0110	University of Birmingham	12	B	12	Aero, Mech, Chem & Manufacturing Engineering				Overall	44.84	20	50	20	10	0
H-0110	University of Birmingham	12	B	13	Elec Engineering, Metallurgy & Materials				Overall	52.95	15	60	25	0	0
H-0110	University of Birmingham	12	B	14	Civil and Construction Engineering				Overall	22.55	10	55	30	5	0
H-0110	University of Birmingham	12	C	16	Architecture, Built Environment & Planning				Overall	11	10	40	30	20	0
H-0110	University of Birmingham	12	C	17	Geography, Environmental Studies & Archaeology				Overall	50.4	10	40	45	5	0
H-0110	University of Birmingham	12	C	18	Economics & Econometrics				Overall	21.38	15	50	30	5	0
H-0110	University of Birmingham	12	C	19	Business & Management Studies				Overall	47.03	20	35	35	10	0
H-0110	University of Birmingham	12	C	20	Law				Overall	26	15	45	30	10	0
H-0110	University of Birmingham	12	C	21	Politics & International Studies				Overall	28	5	40	40	15	0
H-0110	University of Birmingham	12	C	22	Social Work & Social Policy				Overall	26.12	15	45	35	5	0
H-0110	University of Birmingham	12	C	23	Sociology				Overall	18	5	25	35	30	5
H-0110	University of Birmingham	12	C	24	Anthropology & Development Studies				Overall	7.84	10	25	40	25	0
H-0110	University of Birmingham	12	C	25	Education				Overall	46.8	10	35	35	20	0
H-0110	University of Birmingham	12	C	26	Sport & Exercise Sciences, Leisure & Tourism				Overall	32.8	25	35	30	10	0
H-0110	University of Birmingham	12	D	27	Area Studies				Overall	34.46	20	30	35	10	5
H-0110	University of Birmingham	12	D	28	Modern Languages				Overall	38.2	10	40	35	10	5
H-0110	University of Birmingham	12	D	29	English Language & Literature				Overall	42.05	25	35	35	5	0
H-0110	University of Birmingham	12	D	30	History				Overall	33.15	20	40	30	10	0
H-0110	University of Birmingham	12	D	31	Classics				Overall	18.5	20	30	40	10	0
H-0110	University of Birmingham	12	D	32	Philosophy				Overall	12	5	40	40	15	0
H-0110	University of Birmingham	12	D	33	Theology & Religious Studies				Overall	22.9	15	45	30	10	0
H-0110	University of Birmingham	12	D	34	Art & Design: History, Practice, Theory				Overall	6.25	30	40	30	0	0
H-0110	University of Birmingham	12	D	35	Music, Drama, Dance, Performing Arts				Overall	17.6	50	35	10	5	0
H-0052	Birmingham City University	13	C	16	Architecture, Built Environment & Planning				Overall	8	10	15	30	40	5
H-0052	Birmingham City University	13	C	19	Business & Management Studies				Overall	8	5	20	20	45	10
H-0052	Birmingham City University	13	C	22	Social Work & Social Policy				Overall	6	5	15	70	10	0
H-0052	Birmingham City University	13	C	25	Education				Overall	3.55	5	20	40	30	5
H-0052	Birmingham City University	13	D	29	English Language & Literature				Overall	13.4	5	15	60	20	0
H-0052	Birmingham City University	13	D	34	Art & Design: History, Practice, Theory				Overall	34.5	30	30	20	20	0
H-0052	Birmingham City University	13	D	35	Music, Drama, Dance, Performing Arts				Overall	13.5	15	25	45	15	0
H-0007	Bishop Grosseteste University College, Lincoln	14	C	25	Education				Overall	5	0	10	15	35	40
H-0007	Bishop Grosseteste University College, Lincoln	14	D	29	English Language & Literature				Overall	3	0	0	75	10	15
H-0049	University of Bolton	15	A	4	Psychology, Psychiatry & Neuroscience				Overall	5.5	0	5	30	55	10
H-0049	University of Bolton	15	B	15	General Engineering				Overall	15.2	10	15	50	25	0
H-0049	University of Bolton	15	C	16	Architecture, Built Environment & Planning				Overall	5	10	30	25	25	10
H-0049	University of Bolton	15	C	19	Business & Management Studies				Overall	3.4	0	10	30	45	15
H-0049	University of Bolton	15	C	22	Social Work & Social Policy				Overall	4	5	40	30	25	0
H-0049	University of Bolton	15	C	25	Education				Overall	8.4	0	15	30	40	15
H-0049	University of Bolton	15	D	29	English Language & Literature				Overall	6.4	0	10	30	50	10
H-0049	University of Bolton	15	D	32	Philosophy				Overall	2	0	55	45	0	0
H-0049	University of Bolton	15	D	34	Art & Design: History, Practice, Theory				Overall	3.5	0	0	30	60	10
H-0050	Bournemouth University	16	A	1	Clinical Medicine				Overall	5.7	0	20	30	35	15
H-0050	Bournemouth University	16	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	9.2	10	30	35	20	5
H-0050	Bournemouth University	16	B	11	Computer Science & Informatics				Overall	10.2	5	30	50	15	0
H-0050	Bournemouth University	16	B	15	General Engineering				Overall	11.2	5	35	30	25	5
H-0050	Bournemouth University	16	C	17	Geography, Environmental Studies & Archaeology				Overall	18.5	10	25	40	20	5
H-0050	Bournemouth University	16	C	19	Business & Management Studies				Overall	23.8	5	25	35	30	5
H-0050	Bournemouth University	16	C	20	Law				Overall	6.2	0	0	25	75	0
H-0050	Bournemouth University	16	D	34	Art & Design: History, Practice, Theory				Overall	14.5	15	55	30	0	0
H-0050	Bournemouth University	16	D	36	Comm, Cultural & Media Studies, Library & Info Mgt				Overall	11.9	15	35	40	5	5
H-0197	Arts Institute at Bournemouth	17	D	34	Art & Design: History, Practice, Theory				Overall	7.5	0	10	10	70	10
H-0111	University of Bradford	18	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	89.75	10	35	40	15	0
H-0111	University of Bradford	18	B	11	Computer Science & Informatics				Overall	23	5	40	40	15	0
H-0111	University of Bradford	18	B	12	Aero, Mech, Chem & Manufacturing Engineering				Overall	28.6	10	30	50	10	0
H-0111	University of Bradford	18	B	13	Elec Engineering, Metallurgy & Materials				Overall	8.2	0	10	50	35	5
H-0111	University of Bradford	18	B	14	Civil and Construction Engineering				Overall	8.2	5	50	35	10	0
H-0111	University of Bradford	18	C	17	Geography, Environmental Studies & Archaeology				Overall	20	20	30	40	10	0
H-0111	University of Bradford	18	C	19	Business & Management Studies				Overall	40.6	15	30	45	10	0
H-0111	University of Bradford	18	C	21	Politics & International Studies				Overall	28.39	15	35	25	25	0
H-0111	University of Bradford	18	C	22	Social Work & Social Policy				Overall	16.4	10	40	45	5	0
H-0111	University of Bradford	18	C	24	Anthropology & Development Studies				Overall	7.7	5	25	40	30	0
H-0111	University of Bradford	18	D	30	History				Overall	6.5	5	20	55	20	0
H-0111	University of Bradford	18	D	36	Comm, Cultural & Media Studies, Library & Info Mgt				Overall	6.6	5	15	20	60	0
H-0051	University of Brighton	19	A	1	Clinical Medicine				Overall	0.1	5	30	45	20	0
H-0051	University of Brighton	19	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	45.8	0	15	40	40	5
H-0051	University of Brighton	19	B	7	Earth Systems & Environmental Sciences				Overall	17	0	40	50	10	0
H-0051	University of Brighton	19	B	9	Physics				Overall	1	0	45	45	5	5
H-0051	University of Brighton	19	B	10	Mathematical Sciences				Overall	3	0	15	45	35	5
H-0051	University of Brighton	19	B	11	Computer Science & Informatics				Overall	9	15	40	35	10	0
H-0051	University of Brighton	19	B	12	Aero, Mech, Chem & Manufacturing Engineering				Overall	4.7	5	65	25	5	0
H-0051	University of Brighton	19	C	19	Business & Management Studies				Overall	19.75	20	25	25	25	5
H-0051	University of Brighton	19	C	22	Social Work & Social Policy				Overall	24	0	35	55	10	0
H-0051	University of Brighton	19	C	25	Education				Overall	10.74	10	25	30	30	5
H-0051	University of Brighton	19	C	26	Sport & Exercise Sciences, Leisure & Tourism				Overall	22	10	25	30	35	0
H-0051	University of Brighton	19	D	27	Area Studies				Overall	5	0	10	35	55	0
H-0051	University of Brighton	19	D	34	Art & Design: History, Practice, Theory				Overall	71.58	35	30	20	15	0
H-0051	University of Brighton	19	D	36	Comm, Cultural & Media Studies, Library & Info Mgt				Overall	18	5	30	45	20	0
H-0112	University of Bristol	20	A	1	Clinical Medicine				Overall	69	5	50	45	0	0
H-0112	University of Bristol	20	A	2	Public Health, Health Services & Primary Care				Overall	49.76	20	55	20	5	0
H-0112	University of Bristol	20	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	19.41	20	40	35	5	0
H-0112	University of Bristol	20	A	4	Psychology, Psychiatry & Neuroscience				Overall	51.86	10	50	30	10	0
H-0112	University of Bristol	20	A	5	Biological Sciences				Overall	143.18	15	40	35	10	0
H-0112	University of Bristol	20	A	6	Agriculture, Veterinary & Food Science				Overall	55.38	0	40	45	15	0
H-0112	University of Bristol	20	B	7	Earth Systems & Environmental Sciences				Overall	47.7	25	50	20	5	0
H-0112	University of Bristol	20	B	8	Chemistry				Overall	67	25	50	25	0	0
H-0112	University of Bristol	20	B	9	Physics				Overall	46	20	35	35	10	0
H-0112	University of Bristol	20	B	10	Mathematical Sciences				Overall	95.53	25	45	30	0	0
H-0112	University of Bristol	20	B	11	Computer Science & Informatics				Overall	36.2	30	40	25	5	0
H-0112	University of Bristol	20	B	12	Aero, Mech, Chem & Manufacturing Engineering				Overall	38.1	25	55	15	5	0
H-0112	University of Bristol	20	B	13	Elec Engineering, Metallurgy & Materials				Overall	32	10	55	30	5	0
H-0112	University of Bristol	20	B	14	Civil and Construction Engineering				Overall	18	25	55	15	5	0
H-0112	University of Bristol	20	C	17	Geography, Environmental Studies & Archaeology				Overall	51.42	15	35	35	10	5
H-0112	University of Bristol	20	C	18	Economics & Econometrics				Overall	19.45	30	55	15	0	0
H-0112	University of Bristol	20	C	19	Business & Management Studies				Overall	17.2	0	30	45	20	5
H-0112	University of Bristol	20	C	20	Law				Overall	43.7	15	40	35	10	0
H-0112	University of Bristol	20	C	21	Politics & International Studies				Overall	24	10	30	35	20	5
H-0112	University of Bristol	20	C	22	Social Work & Social Policy				Overall	47.36	20	40	30	10	0
H-0112	University of Bristol	20	C	23	Sociology				Overall	17.93	10	40	30	20	0
H-0112	University of Bristol	20	C	25	Education				Overall	42.56	25	35	30	10	0
H-0112	University of Bristol	20	C	26	Sport & Exercise Sciences, Leisure & Tourism				Overall	8.6	20	35	35	10	0
H-0112	University of Bristol	20	D	28	Modern Languages				Overall	41.66	10	30	40	15	5
H-0112	University of Bristol	20	D	29	English Language & Literature				Overall	18.4	20	50	25	5	0
H-0112	University of Bristol	20	D	30	History				Overall	26	15	40	35	10	0
H-0112	University of Bristol	20	D	31	Classics				Overall	20	20	35	40	5	0
H-0112	University of Bristol	20	D	32	Philosophy				Overall	16	30	35	30	5	0
H-0112	University of Bristol	20	D	33	Theology & Religious Studies				Overall	10	15	30	40	15	0
H-0112	University of Bristol	20	D	34	Art & Design: History, Practice, Theory				Overall	6	15	30	45	10	0
H-0112	University of Bristol	20	D	35	Music, Drama, Dance, Performing Arts				Overall	19.3	10	75	10	5	0
H-0151E	British Institute in Paris	21	D	28	Modern Languages				Overall	4	0	30	20	40	10
H-0113	Brunel University	22	A	2	Public Health, Health Services & Primary Care				Overall	5.4	15	50	30	5	0
H-0113	Brunel University	22	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	55.6	10	15	20	30	25
H-0113	Brunel University	22	A	4	Psychology, Psychiatry & Neuroscience				Overall	25.6	5	30	50	15	0
H-0113	Brunel University	22	B	7	Earth Systems & Environmental Sciences				Overall	8.6	10	30	50	10	0
H-0113	Brunel University	22	B	10	Mathematical Sciences				Overall	29	15	35	40	10	0
H-0113	Brunel University	22	B	12	Aero, Mech, Chem & Manufacturing Engineering				Overall	38.46	10	40	40	10	0
H-0113	Brunel University	22	B	15	General Engineering				Overall	65.3	5	45	50	0	0
H-0113	Brunel University	22	C	17	Geography, Environmental Studies & Archaeology				Overall	7.86	5	20	60	15	0
H-0113	Brunel University	22	C	18	Economics & Econometrics				Overall	25	10	50	35	5	0
H-0113	Brunel University	22	C	19	Business & Management Studies				Overall	51.1	10	35	35	20	0
H-0113	Brunel University	22	C	20	Law				Overall	29	5	45	40	10	0
H-0113	Brunel University	22	C	21	Politics & International Studies				Overall	16	5	20	50	25	0
H-0113	Brunel University	22	C	22	Social Work & Social Policy				Overall	11.2	5	30	40	25	0
H-0113	Brunel University	22	C	23	Sociology				Overall	11	10	40	35	15	0
H-0113	Brunel University	22	C	24	Anthropology & Development Studies				Overall	8.2	20	30	35	15	0
H-0113	Brunel University	22	C	25	Education				Overall	15.5	5	10	35	40	10
H-0113	Brunel University	22	C	26	Sport & Exercise Sciences, Leisure & Tourism				Overall	21	15	20	40	25	0
H-0113	Brunel University	22	D	29	English Language & Literature				Overall	16.5	15	30	45	10	0
H-0113	Brunel University	22	D	34	Art & Design: History, Practice, Theory				Overall	10.5	0	35	45	15	5
H-0113	Brunel University	22	D	35	Music, Drama, Dance, Performing Arts				Overall	20.2	15	30	40	10	5
H-0113	Brunel University	22	D	36	Comm, Cultural & Media Studies, Library & Info Mgt				Overall	63	10	25	60	5	0
H-0009	Buckinghamshire New University	23	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	5.6	0	10	15	45	30
H-0009	Buckinghamshire New University	23	C	19	Business & Management Studies				Overall	2.6	0	20	40	30	10
H-0009	Buckinghamshire New University	23	C	26	Sport & Exercise Sciences, Leisure & Tourism				Overall	5	0	5	50	45	0
H-0009	Buckinghamshire New University	23	D	34	Art & Design: History, Practice, Theory				Overall	13.05	5	25	40	20	10
H-0114	University of Cambridge	24	A	1	Clinical Medicine				Overall	187.75	35	45	15	5	0
H-0114	University of Cambridge	24	A	2	Public Health, Health Services & Primary Care				Overall	15.2	20	45	30	5	0
H-0114	University of Cambridge	24	A	4	Psychology, Psychiatry & Neuroscience				Overall	64.8	35	50	15	0	0
H-0114	University of Cambridge	24	A	5	Biological Sciences				Overall	213.69	20	40	30	5	5
H-0114	University of Cambridge	24	A	6	Agriculture, Veterinary & Food Science				Overall	38.6	5	40	45	10	0
H-0114	University of Cambridge	24	B	7	Earth Systems & Environmental Sciences				Overall	44.9	40	50	10	0	0
H-0114	University of Cambridge	24	B	8	Chemistry				Overall	62.95	40	40	20	0	0
H-0114	University of Cambridge	24	B	9	Physics				Overall	141.25	25	40	30	5	0
H-0114	University of Cambridge	24	B	10	Mathematical Sciences				Overall	151.3	30	45	25	0	0
H-0114	University of Cambridge	24	B	11	Computer Science & Informatics				Overall	44.83	45	45	10	0	0
H-0114	University of Cambridge	24	B	12	Aero, Mech, Chem & Manufacturing Engineering				Overall	30.5	30	55	15	0	0
H-0114	University of Cambridge	24	B	13	Elec Engineering, Metallurgy & Materials				Overall	29.5	40	55	5	0	0
H-0114	University of Cambridge	24	B	15	General Engineering				Overall	150	45	45	10	0	0
H-0114	University of Cambridge	24	C	16	Architecture, Built Environment & Planning				Overall	34.73	30	45	25	0	0
